lakecode,lakename,lakeorriver,continent,country,state,latitude,longitude,elevation,mean_depth,max_depth,surface_area,shoreline,largest_city_population,power_plant_discharge,inlet_streams,area_drained,landuse_code,conductivity_us,secchi_depth,contributor,filename,initials,lat_decimal,lon_decimal,median_depth,comments
JJM7,TROUT BOG,L,N,UNITED STATES,WI,46 02,89 41,494,5.6,7.9,0.011,-999,-999,N,N,-999,F,23,1.2,MAGNUSON,JJM,JJM,46.03,-89.68,-999,-999
JJM8,TROUT LAKE,L,N,UNITED STATES,WI,46 02,89 40,491.8,14.6,35.7,16.079,-999,-999,N,Y,-999,F,93,4.6,MAGNUSON,JJM,JJM,46.03,-89.67,-999,-999
JJM9,LAKE KEGONSA,L,N,UNITED STATES,WI,42 58,89 15,256.95,5.18,9.45,12.99,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,42.97,-89.25,-999,-999
JK01,OULUJARVI,L,E,FINLAND,-999,64.3,27.3,122.7,-999,-999,887,-999,-999,-,-,-999,-999,-999,-999,KORHONEN,JK,JK,64.3,27.3,-999,Guage=5903410
JK02,LAKE KALLAVESI (4079),L,E,FINLAND,-999,62.83,27.77,81.8,9.7,75,316,-999,-999,-,-,16270,-999,-999,-999,KORHONEN,JK,JK,62.83,27.77,-999,Guage=407920 Replaces EK23 and RB6 which were moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK03,LAKE NASIJARVI (3568),L,E,FINLAND,-999,61.53,23.75,95.4,13,61,256,-999,-999,-,-,7550,-999,-999,-999,KORHONEN,JK,JK,61.53,23.75,-999,Guage=3506810 Replaces EK24 - LAKE NASIJARVI (3568) which was moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK04,LAKE VESIJARVI (1462),L,E,FINLAND,-999,61.18,25.54,81.4,6.6,40,107.6,169,-999,-,-,515,-999,-999,-999,KORHONEN,JK,JK,61.18,25.54,-999,Guage=1406200 Replaces EK21 and RB36 which were moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK05,LAKE PAIJANNE (1463),L,E,FINLAND,-999,61.18,25.54,78.3,15,94.5,1080,2345,-999,-,-,26480,-999,5,6,KORHONEN,JK,JK,61.18,25.54,-999,Guage=1406300 Replaces EK22 and RB37 which were moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK06,MUURASJARVI (1401),L,E,FINLAND,-999,63.47,25.34,112.2,8.98,35.71,21.05,61,-999,-,-,200,-999,-999,-999,KORHONEN,JK,JK,63.47,25.34,-999,Guage=1400100 Replaces EK1 and RB10 which were moved to ICELAKES_REMOVED and ICEDATA_REMOVED
JK07,KALMARINJARVI (1417),L,E,FINLAND,-999,62.79,25,129.8,5.7,22,7.05,19,-999,-,-,1775,-999,1.6,3.5,KORHONEN,JK,JK,62.79,25,-999,Guage=1401700 Replaces EK7 and RB16 which were moved to ICELAKES_REMOVED and ICEDATA_REMOVED
